Bytes;Flows;Bits per second;Packets per second;Packets (default: input);Source IP address;Destination IP address;Source port;Destination port;Start time – first seen;End time – last seen;Duration;DNS question count;Source country;Destination country
7263110;1;193728;112;33634;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;17.03.2023 9:02;17.03.2023 9:07;299.930;0;372;203
7263110;1;193728;112;33634;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;17.03.2023 9:02;17.03.2023 9:07;299.930;0;372;203
7263110;1;193728;112;33634;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;17.03.2023 9:02;17.03.2023 9:07;299.930;0;372;203
3630455;1;96816;56;16813;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;17.03.2023 9:02;17.03.2023 9:07;299.987;0;372;0
3630455;1;96816;56;16813;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;17.03.2023 9:02;17.03.2023 9:07;299.987;0;372;0
3630455;1;96816;56;16813;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;17.03.2023 9:02;17.03.2023 9:07;299.987;0;372;0
3153471;1;84116;52;15662;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;17.03.2023 9:02;17.03.2023 9:07;299.914;0;0;372
3153471;1;84116;52;15662;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;17.03.2023 9:02;17.03.2023 9:07;299.914;0;0;372
3153471;1;84116;52;15662;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;17.03.2023 9:02;17.03.2023 9:07;299.914;0;0;372
25234664;1;673011;70;21294;10.100.38.242;10.100.39.100;44587;49;2023-03-17 09:02:12.044;2023-03-17 09:07:12.005;299.961;0;0;0
25234664;1;673011;70;21294;10.100.38.242;10.100.39.100;44587;49;2023-03-17 09:02:12.044;2023-03-17 09:07:12.005;299.961;0;0;0
25234664;1;673011;70;21294;10.100.38.242;10.100.39.100;44587;49;2023-03-17 09:02:12.044;2023-03-17 09:07:12.005;299.961;0;0;0
25333900;1;675793;71;21380;10.100.38.242;10.100.39.105;44046;49;17.03.2023 9:02;17.03.2023 9:07;299.901;0;0;0
6257344;1;166917;20;6207;5.180.196.1;ip4-nat-83-240-63-195.cust.nbox.cz;1198;19067;17.03.2023 9:03;17.03.2023 9:08;299.901;0;203;203
6257344;1;166917;20;6207;5.180.196.1;ip4-nat-83-240-63-195.cust.nbox.cz;1198;19067;17.03.2023 9:03;17.03.2023 9:08;299.901;0;203;203
2116422;1;56440;19;5870;ip4-nat-83-240-63-195.cust.nbox.cz;5.180.196.1;19067;1198;17.03.2023 9:03;17.03.2023 9:08;299.985;0;203;203
2116422;1;56440;19;5870;ip4-nat-83-240-63-195.cust.nbox.cz;5.180.196.1;19067;1198;17.03.2023 9:03;17.03.2023 9:08;299.985;0;203;203
6257344;1;166917;20;6207;5.180.196.1;ip4-nat-83-240-63-195.cust.nbox.cz;1198;19067;17.03.2023 9:03;17.03.2023 9:08;299.901;0;203;203
2116422;1;56440;19;5870;ip4-nat-83-240-63-195.cust.nbox.cz;5.180.196.1;19067;1198;17.03.2023 9:03;17.03.2023 9:08;299.985;0;203;203
1691143;1;45129;23;7156;166.144.raabnet.net;5.180.196.1;52884;1198;17.03.2023 9:03;17.03.2023 9:08;299.784;0;203;203
1691143;1;45129;23;7156;166.144.raabnet.net;5.180.196.1;52884;1198;17.03.2023 9:03;17.03.2023 9:08;299.784;0;203;203
1691143;1;45129;23;7156;166.144.raabnet.net;5.180.196.1;52884;1198;17.03.2023 9:03;17.03.2023 9:08;299.784;0;203;203
4572130;1;122004;16;4999;5.180.196.1;166.144.raabnet.net;1198;52884;17.03.2023 9:03;17.03.2023 9:08;299.801;0;203;203
4572130;1;122004;16;4999;5.180.196.1;166.144.raabnet.net;1198;52884;17.03.2023 9:03;17.03.2023 9:08;299.801;0;203;203
4572130;1;122004;16;4999;5.180.196.1;166.144.raabnet.net;1198;52884;17.03.2023 9:03;17.03.2023 9:08;299.801;0;203;203
10246630;1;914591;90;8080;prg03s08-in-f9.1e100.net;5.180.196.1;443;24583;17.03.2023 9:03;17.03.2023 9:04;89.628;0;840;203
5123315;1;457295;45;4040;prg03s08-in-f9.1e100.net;10.99.18.33;443;54152;17.03.2023 9:03;17.03.2023 9:04;89.628;0;840;0
5123315;1;457295;45;4040;prg03s08-in-f9.1e100.net;10.99.18.33;443;54152;17.03.2023 9:03;17.03.2023 9:04;89.628;0;840;0
5123315;1;457295;45;4040;prg03s08-in-f9.1e100.net;10.99.18.33;443;54152;17.03.2023 9:03;17.03.2023 9:04;89.628;0;840;0
10246630;1;914591;90;8080;prg03s08-in-f9.1e100.net;5.180.196.1;443;24583;17.03.2023 9:03;17.03.2023 9:04;89.628;0;840;203
10246630;1;914591;90;8080;prg03s08-in-f9.1e100.net;5.180.196.1;443;24583;17.03.2023 9:03;17.03.2023 9:04;89.628;0;840;203
25801484;1;688207;72;21879;192.168.4.242;192.168.50.205;60940;2809;17.03.2023 9:03;17.03.2023 9:08;299.927;0;0;0
25801484;1;688207;72;21879;192.168.4.242;192.168.50.205;60940;2809;17.03.2023 9:03;17.03.2023 9:08;299.927;0;0;0
167680132;1;4559266;401;118266;5.180.196.1;ip-86-49-252-123.bb.vodafone.cz;1198;50823;17.03.2023 9:06;2023-03-17 09:11:09.082;294.223;0;203;203
167680132;1;4559266;401;118266;5.180.196.1;ip-86-49-252-123.bb.vodafone.cz;1198;50823;17.03.2023 9:06;2023-03-17 09:11:09.082;294.223;0;203;203
351280;1;140287;14;296;prg03s13-in-f22.1e100.net;5.180.196.1;443;23530;17.03.2023 9:06;17.03.2023 9:06;20.032;0;840;203
351280;1;140287;14;296;prg03s13-in-f22.1e100.net;5.180.196.1;443;23530;17.03.2023 9:06;17.03.2023 9:06;20.032;0;840;203
351280;1;140287;14;296;prg03s13-in-f22.1e100.net;5.180.196.1;443;23530;17.03.2023 9:06;17.03.2023 9:06;20.032;0;840;203
94261;1;8124;12;1180;10.99.17.11;prg03s04-in-f12.1e100.net;57161;443;17.03.2023 9:06;2023-03-17 09:08:00.018;92.817;0;0;840
94261;1;8124;12;1180;10.99.17.11;prg03s04-in-f12.1e100.net;57161;443;17.03.2023 9:06;2023-03-17 09:08:00.018;92.817;0;0;840
1242433;1;33131;33;10055;88-103-233-169.rci.o2.cz;5.180.196.1;44382;1198;17.03.2023 9:06;17.03.2023 9:11;299.999;0;203;203
1242247;1;33126;33;10053;88-103-233-169.rci.o2.cz;5.180.196.1;44382;1198;17.03.2023 9:06;17.03.2023 9:11;299.999;0;203;203
1242247;1;33126;33;10053;88-103-233-169.rci.o2.cz;5.180.196.1;44382;1198;17.03.2023 9:06;17.03.2023 9:11;299.999;0;203;203
10035182;1;267649;28;8424;5.180.196.1;88-103-233-169.rci.o2.cz;1198;44382;17.03.2023 9:06;17.03.2023 9:11;299.950;0;203;203
10035182;1;267649;28;8424;5.180.196.1;88-103-233-169.rci.o2.cz;1198;44382;17.03.2023 9:06;17.03.2023 9:11;299.950;0;203;203
10035182;1;267649;28;8424;5.180.196.1;88-103-233-169.rci.o2.cz;1198;44382;17.03.2023 9:06;17.03.2023 9:11;299.950;0;203;203
7198808;1;191972;111;33464;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;17.03.2023 9:07;17.03.2023 9:12;299.994;0;372;203
7198808;1;191972;111;33464;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;17.03.2023 9:07;17.03.2023 9:12;299.994;0;372;203
7198808;1;191972;111;33464;78-137-139-106.cust.viatel.net;5.180.196.9;47714;26035;17.03.2023 9:07;17.03.2023 9:12;299.994;0;372;203
3409892;1;90937;51;15329;5.180.196.9;78-137-139-106.cust.viatel.net;26035;47714;17.03.2023 9:07;17.03.2023 9:12;299.978;0;203;372
3409892;1;90937;51;15329;5.180.196.9;78-137-139-106.cust.viatel.net;26035;47714;17.03.2023 9:07;17.03.2023 9:12;299.978;0;203;372
3409892;1;90937;51;15329;5.180.196.9;78-137-139-106.cust.viatel.net;26035;47714;17.03.2023 9:07;17.03.2023 9:12;299.978;0;203;372
26468692;1;707659;76;22827;10.100.38.242;10.100.39.105;44046;49;17.03.2023 9:07;17.03.2023 9:12;299.225;0;0;0
26468692;1;707659;76;22827;10.100.38.242;10.100.39.105;44046;49;17.03.2023 9:07;17.03.2023 9:12;299.225;0;0;0
3608697;1;96246;55;16777;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;17.03.2023 9:07;17.03.2023 9:12;299.953;0;372;0
3608697;1;96246;55;16777;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;17.03.2023 9:07;17.03.2023 9:12;299.953;0;372;0
3608697;1;96246;55;16777;78-137-139-106.cust.viatel.net;192.168.45.1;47714;60313;17.03.2023 9:07;17.03.2023 9:12;299.953;0;372;0
3408851;1;90908;51;15333;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;17.03.2023 9:07;17.03.2023 9:12;299.980;0;0;372
3408851;1;90908;51;15333;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;17.03.2023 9:07;17.03.2023 9:12;299.980;0;0;372
3408851;1;90908;51;15333;192.168.45.1;78-137-139-106.cust.viatel.net;60313;47714;17.03.2023 9:07;17.03.2023 9:12;299.980;0;0;372
2153200;1;57449;18;5539;ivancice-1.gw.selfnet.cz;5.180.196.1;6323;1198;17.03.2023 9:07;2023-03-17 09:12:05.078;299.838;0;203;203
2153200;1;57449;18;5539;ivancice-1.gw.selfnet.cz;5.180.196.1;6323;1198;17.03.2023 9:07;2023-03-17 09:12:05.078;299.838;0;203;203
2153200;1;57449;18;5539;ivancice-1.gw.selfnet.cz;5.180.196.1;6323;1198;17.03.2023 9:07;2023-03-17 09:12:05.078;299.838;0;203;203
28871886;1;804376;79;22794;prg03s08-in-f9.1e100.net;5.180.196.1;443;8262;17.03.2023 9:07;17.03.2023 9:11;287.148;0;840;203
28871886;1;804376;79;22794;prg03s08-in-f9.1e100.net;5.180.196.1;443;8262;17.03.2023 9:07;17.03.2023 9:11;287.148;0;840;203
28871886;1;804376;79;22794;prg03s08-in-f9.1e100.net;5.180.196.1;443;8262;17.03.2023 9:07;17.03.2023 9:11;287.148;0;840;203
14382879;1;400711;39;11355;prg03s08-in-f9.1e100.net;10.99.18.33;443;62383;17.03.2023 9:07;17.03.2023 9:11;287.147;0;840;0
14382879;1;400711;39;11355;prg03s08-in-f9.1e100.net;10.99.18.33;443;62383;17.03.2023 9:07;17.03.2023 9:11;287.147;0;840;0
14382879;1;400711;39;11355;prg03s08-in-f9.1e100.net;10.99.18.33;443;62383;17.03.2023 9:07;17.03.2023 9:11;287.147;0;840;0
26415716;1;705965;76;22789;10.100.38.242;10.100.39.100;44587;49;17.03.2023 9:07;2023-03-17 09:12:12.004;299.343;0;0;0
26415716;1;705965;76;22789;10.100.38.242;10.100.39.100;44587;49;17.03.2023 9:07;2023-03-17 09:12:12.004;299.343;0;0;0
26415716;1;705965;76;22789;10.100.38.242;10.100.39.100;44587;49;17.03.2023 9:07;2023-03-17 09:12:12.004;299.343;0;0;0
152876;1;92532;13;172;prg03s10-in-f8.1e100.net;5.180.196.1;443;21519;17.03.2023 9:07;17.03.2023 9:07;13.217;0;840;203
152876;1;92532;13;172;prg03s10-in-f8.1e100.net;5.180.196.1;443;21519;17.03.2023 9:07;17.03.2023 9:07;13.217;0;840;203
152876;1;92532;13;172;prg03s10-in-f8.1e100.net;5.180.196.1;443;21519;17.03.2023 9:07;17.03.2023 9:07;13.217;0;840;203
1862795;1;763362;68;1338;server-65-9-94-98.prg50.r.cloudfront.net;10.99.16.21;443;51523;17.03.2023 9:08;17.03.2023 9:08;19.522;0;840;0
3725590;1;1526724;137;2676;server-65-9-94-98.prg50.r.cloudfront.net;5.180.196.1;443;51568;17.03.2023 9:08;17.03.2023 9:08;19.522;0;840;203
3725590;1;1526724;137;2676;server-65-9-94-98.prg50.r.cloudfront.net;5.180.196.1;443;51568;17.03.2023 9:08;17.03.2023 9:08;19.522;0;840;203
1862795;1;763362;68;1338;server-65-9-94-98.prg50.r.cloudfront.net;10.99.16.21;443;51523;17.03.2023 9:08;17.03.2023 9:08;19.522;0;840;0
1862795;1;763362;68;1338;server-65-9-94-98.prg50.r.cloudfront.net;10.99.16.21;443;51523;17.03.2023 9:08;17.03.2023 9:08;19.522;0;840;0
3725590;1;1526724;137;2676;server-65-9-94-98.prg50.r.cloudfront.net;5.180.196.1;443;51568;17.03.2023 9:08;17.03.2023 9:08;19.522;0;840;203
572202;1;15396;12;3740;89-190-44-155.cust.selfnet.cz;5.180.196.1;6323;1198;17.03.2023 9:08;17.03.2023 9:13;297.313;0;203;203
572202;1;15396;12;3740;89-190-44-155.cust.selfnet.cz;5.180.196.1;6323;1198;17.03.2023 9:08;17.03.2023 9:13;297.313;0;203;203
572202;1;15396;12;3740;89-190-44-155.cust.selfnet.cz;5.180.196.1;6323;1198;17.03.2023 9:08;17.03.2023 9:13;297.313;0;203;203
4127267;1;111026;11;3410;5.180.196.1;89-190-44-155.cust.selfnet.cz;1198;6323;17.03.2023 9:08;17.03.2023 9:13;297.390;0;203;203
4127267;1;111026;11;3410;5.180.196.1;89-190-44-155.cust.selfnet.cz;1198;6323;17.03.2023 9:08;17.03.2023 9:13;297.390;0;203;203
4127267;1;111026;11;3410;5.180.196.1;89-190-44-155.cust.selfnet.cz;1198;6323;17.03.2023 9:08;17.03.2023 9:13;297.390;0;203;203
29302616;1;782135;92;27608;5.180.196.1;ip4-nat-95-82-132-32.cust.nbox.cz;1198;27107;17.03.2023 9:08;17.03.2023 9:13;299.719;0;203;203
29302616;1;782135;92;27608;5.180.196.1;ip4-nat-95-82-132-32.cust.nbox.cz;1198;27107;17.03.2023 9:08;17.03.2023 9:13;299.719;0;203;203
29302616;1;782135;92;27608;5.180.196.1;ip4-nat-95-82-132-32.cust.nbox.cz;1198;27107;17.03.2023 9:08;17.03.2023 9:13;299.719;0;203;203
